number;quantity;;;;;;;;;;;;;
-11;1101;;;;;;;;;;;;;
-10;1340;;;;;;;;;;;;;
-9;1664;;;;;;;;;;;;;
-8;2055;;;;;;;;;;;;;
-7;2662;;;;;;;;;;;;;
-6;3656;;;;;;;;;;;;;
-5;5370;;;;;;;;;;;;;
-4;8029;;;;;;;;;;;;;
-3;13117;;;;;;;;;;;;;
-2;22246;;;;;;;;;;;;;
-1;35755;;;;;;;;;;;;;
0;43405;;;;;;;;;;;;;
1;37196;;;;;;;;;;;;;
2;24116;;;;;;;;;;;;;
3;14265;;;;;;;;;;;;;
4;8990;;;;;;;;;;;;;
5;5863;;;;;;;;;;;;;
6;4143;;;;;;;;;;;;;
7;3056;;;;;;;;;;;;;
8;2300;;;;;;;;;;;;;
9;1874;;;;;;;;;;;;;
10;1524;;;;;;;;;;;;;
11;1212;;;;;;;;;;;;;
12;934;;;;;;;;;;;;;
13;841;;;;;;;;;;;;;
14;711;;;;;;;;;;;;;
15;629;;;;;;;;;;;;;
16;517;;;;;;;;;;;;;
17;473;;;;;;;;;;;;;
18;429;;;;;;;;;;;;;
19;344;;;;;;;;;;;;;
20;304;;;;;;;;;;;;;
21;288;;;;;;;;;;;;;
22;241;;;;;;;;;;;;;
23;229;;;;;;;;;;;;;
24;204;;;;;;;;;;;;;
25;199;;;;;;;;;;;;;
26;146;;;;;;;;;;;;;
27;133;;;;;;;;;;;;;
28;110;;;;;;;;;;;;;
29;90;;;;;;;;;;;;;
30;104;;;;;;;;;;;;;
31;90;;;;;;;;;;;;;
32;82;;;;;;;;;;;;;
33;67;;;;;;;;;;;;;
34;46;;;;;;;;;;;;;
35;56;;;;;;;;;;;;;
36;48;;;;;;;;;;;;;
37;34;;;;;;;;;;;;;
38;33;;;;;;;;;;;;;
39;23;;;;;;;;;;;;;
40;30;;;;;;;;;;;;;
41;25;;;;;;;;;;;;;
42;19;;;;;;;;;;;;;
43;15;;;;;;;;;;;;;
44;19;;;;;;;;;;;;;
45;11;;;;;;;;;;;;;
46;10;;;;;;;;;;;;;
47;13;;;;;;;;;;;;;
48;9;;;;;;;;;;;;;
49;11;;;;;;;;;;;;;
50;10;;;;;;;;;;;;;
51;6;;;;;;;;;;;;;
52;4;;;;;;;;;;;;;
53;10;;;;;;;;;;;;;
54;4;;;;;;;;;;;;;
55;5;;;;;;;;;;;;;
56;3;;;;;;;;;;;;;
57;4;;;;;;;;;;;;;
58;3;;;;;;;;;;;;;
59;3;;;;;;;;;;;;;
60;1;;;;;;;;;;;;;
61;4;;;;;;;;;;;;;
63;1;;;;;;;;;;;;;
64;5;;;;;;;;;;;;;
65;3;;;;;;;;;;;;;
66;2;;;;;;;;;;;;;
67;4;;;;;;;;;;;;;
68;5;;;;;;;;;;;;;
69;1;;;;;;;;;;;;;
70;3;;;;;;;;;;;;;
73;3;;;;;;;;;;;;;
74;3;;;;;;;;;;;;;
75;2;;;;;;;;;;;;;
76;4;;;;;;;;;;;;;
77;1;;;;;;;;;;;;;
78;3;;;;;;;;;;;;;
87;1;;;;;;;;;;;;;
;;;;;;;;;;;;;;
-89;1;;;;;;;;;;;;;
-82;1;;;;;;;;;;;;;
-81;1;;;;;;;;;;;;;
-72;1;;;;;;;;;;;;;
-70;1;;;;;;;;;;;;;
-69;2;;;;;;;;;;;;;
-68;5;;;;;;;;;;;;;
-67;1;;;;;;;;;;;;;
-66;1;;;;;;;;;;;;;
-65;2;;;;;;;;;;;;;
-64;5;;;;;;;;;;;;;
-63;6;;;;;;;;;;;;;
-62;3;;;;;;;;;;;;;
-61;7;;;;;;;;;;;;;
-60;11;;;;;;;;;;;;;
-59;12;;;;;;;;;;;;;
-58;12;;;;;;;;;;;;;
-57;12;;;;;;;;;;;;;
-56;9;;;;;;;;;;;;;
-55;19;;;;;;;;;;;;;
-54;20;;;;;;;;;;;;;
-53;23;;;;;;;;;;;;;
-52;29;;;;;;;;;;;;;
-51;30;;;;;;;;;;;;;
-50;26;;;;;;;;;;;;;
-49;30;;;;;;;;;;;;;
-48;37;;;;;;;;;;;;;
-47;40;;;;;;;;;;;;;
-46;44;;;;;;;;;;;;;
-45;67;;;;;;;;;;;;;
-44;57;;;;;;;;;;;;;
-43;66;;;;;;;;;;;;;
-42;80;;;;;;;;;;;;;
-41;100;;;;;;;;;;;;;
-40;97;;;;;;;;;;;;;
-39;105;;;;;;;;;;;;;
-38;108;;;;;;;;;;;;;
-37;133;;;;;;;;;;;;;
-36;162;;;;;;;;;;;;;
-35;159;;;;;;;;;;;;;
-34;173;;;;;;;;;;;;;
-33;226;;;;;;;;;;;;;
-32;247;;;;;;;;;;;;;
-31;252;;;;;;;;;;;;;
-30;288;;;;;;;;;;;;;
-29;290;;;;;;;;;;;;;
-28;376;;;;;;;;;;;;;
-27;389;;;;;;;;;;;;;
-26;438;;;;;;;;;;;;;
-25;516;;;;;;;;;;;;;
-24;564;;;;;;;;;;;;;
-23;636;;;;;;;;;;;;;
-22;699;;;;;;;;;;;;;
-21;832;;;;;;;;;;;;;
-20;937;;;;;;;;;;;;;
-19;1106;;;;;;;;;;;;;
-18;1294;;;;;;;;;;;;;
-17;1466;;;;;;;;;;;;;
-16;1675;;;;;;;;;;;;;
-15;1999;;;;;;;;;;;;;
-14;2236;;;;;;;;;;;;;
-13;2707;;;;;;;;;;;;;
-12;3231;;;;;;;;;;;;;
-11;3616;;;;;;;;;;;;;
-10;4332;;;;;;;;;;;;;
-9;5078;;;;;;;;;;;;;
-8;6109;;;;;;;;;;;;;
-7;7013;;;;;;;;;;;;;
-6;8320;;;;;;;;;;;;;
-5;9522;;;;;;;;;;;;;
-4;10871;;;;;;;;;;;;;
-3;12418;;;;;;;;;;;;;
-2;14413;;;;;;;;;;;;;
-1;16869;;;;;;;;;;;;;
0;17914;;;;;;;;;;;;;
1;16991;;;;;;;;;;;;;
2;14496;;;;;;;;;;;;;
3;12630;;;;;;;;;;;;;
4;10968;;;;;;;;;;;;;
5;9445;;;;;;;;;;;;;
6;7940;;;;;;;;;;;;;
7;6879;;;;;;;;;;;;;
8;5888;;;;;;;;;;;;;
9;4878;;;;;;;;;;;;;
10;4132;;;;;;;;;;;;;
11;3432;;;;;;;;;;;;;
12;2949;;;;;;;;;;;;;
13;2581;;;;;;;;;;;;;
14;2177;;;;;;;;;;;;;
15;1725;;;;;;;;;;;;;
16;1465;;;;;;;;;;;;;
17;1382;;;;;;;;;;;;;
18;1241;;;;;;;;;;;;;
19;964;;;;;;;;;;;;;
20;927;;;;;;;;;;;;;
21;834;;;;;;;;;;;;;
22;763;;;;;;;;;;;;;
23;612;;;;;;;;;;;;;
24;543;;;;;;;;;;;;;
25;471;;;;;;;;;;;;;
26;461;;;;;;;;;;;;;
27;379;;;;;;;;;;;;;
28;324;;;;;;;;;;;;;
29;280;;;;;;;;;;;;;
30;294;;;;;;;;;;;;;
31;267;;;;;;;;;;;;;
32;248;;;;;;;;;;;;;
33;203;;;;;;;;;;;;;
34;164;;;;;;;;;;;;;
35;180;;;;;;;;;;;;;
36;125;;;;;;;;;;;;;
37;139;;;;;;;;;;;;;
38;124;;;;;;;;;;;;;
39;127;;;;;;;;;;;;;
40;111;;;;;;;;;;;;;
41;79;;;;;;;;;;;;;
42;86;;;;;;;;;;;;;
43;73;;;;;;;;;;;;;
44;49;;;;;;;;;;;;;
45;57;;;;;;;;;;;;;
46;48;;;;;;;;;;;;;
47;38;;;;;;;;;;;;;
48;40;;;;;;;;;;;;;
49;41;;;;;;;;;;;;;
50;36;;;;;;;;;;;;;
51;42;;;;;;;;;;;;;
52;20;;;;;;;;;;;;;
53;27;;;;;;;;;;;;;
